nit,razon_social,ciiu,estado,fecha_corte,activo_corriente,activo_total,pasivo_corriente,pasivo_total,ganancias_acumuladas,patrimonio,ingresos,utilidad_operacional,utilidad_neta,anio
800059311,KRESTON RM S.A,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",ACTIVA,2018-12-31,3726764.0,9534150.0,2140612.0,4248245.0,2675684.0,5285905.0,6411548.0,1216242.0,691881.0,2018
800059470,ESENTTIA S.A.,C2013 - Fabricación de plásticos en formas primarias,ACTIVA,2018-12-31,923075283.0,2023509798.0,316540640.0,406658414.0,564680122.0,1616851384.0,2326937469.0,50214697.0,158323546.0,2018
800060704,KAMEX INTERNATIONAL SAS,"C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",ACTIVA,2018-12-31,19394459.0,35139992.0,11127281.0,15683351.0,7398769.0,19456641.0,18885336.0,2910284.0,448709.0,2018
800061357,IMPLANTES Y SISTEMAS ORTOPEDICOS SA,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,66669427.0,86932814.0,34841891.0,38604450.0,14460979.0,48328364.0,72172820.0,10654956.0,4973768.0,2018
800061585,FESTO S.A.S.,"G4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",ACTIVA,2018-12-31,14831423.0,29861560.0,8297929.0,9344428.0,10238298.0,20517132.0,41249967.0,3825892.0,2352612.0,2018
800061948,PARKER DRILLING COMPANY INTERNATIONAL,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,ACTIVA,2018-12-31,1530962.0,14900918.0,2389391.0,2389391.0,-37220405.0,12511527.0,0.0,-6494836.0,-6473642.0,2018
800066453,SKANDIA PLANEACIÓN FINANCIERA S.A.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,ACTIVA,2018-12-31,6234083.0,27309668.0,14878.0,14878.0,23171252.0,27294790.0,,5015846.0,4944287.0,2018
800067861,COMPAÑIA IBEROAMERICANA DE PLASTICOS  SAS,C2229 - Fabricación de artículos de plástico n.c.p.,ACTIVA,2018-12-31,79558914.0,346022786.0,34993464.0,96307518.0,69496335.0,249715268.0,166752331.0,31773366.0,20696073.0,2018
800068285,INGENIERIA GRAFICA SA,C1811 - Actividades de impresión,ACTIVA,2018-12-31,9515265.0,20597796.0,5419592.0,10928769.0,8579201.0,9669027.0,15984904.0,1730577.0,-707174.0,2018
800068713,OLEODUCTO DE COLOMBI S.A.,H4930 - Transporte por tuberías,ACTIVA,2018-12-31,249662340.0,593387185.0,118978787.0,210449986.0,291973752.0,382937199.0,299708159.0,205581396.0,138341354.0,2018
800069103,CI EXPORDENT S.A,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",ACTIVA,2018-12-31,3436381.0,3436381.0,2388744.0,2484155.0,551985.0,952226.0,5946272.0,352822.0,305983.0,2018
800071745,CONSTRUIR SA,F4111 - Construcción de edificios residenciales,ACTIVA,2018-12-31,8438664.0,16937194.0,2123904.0,2940991.0,9402546.0,13996203.0,6043872.0,944529.0,608290.0,2018
800072556,SEATECH INTERNATIONAL INC,"C1012 - Procesamiento y conservación de pescados, crustáceos y moluscos",ACTIVA,2018-12-31,212524077.0,325426682.0,179916211.0,180179204.0,117686719.0,145247478.0,405263204.0,22282792.0,13768869.0,2018
800072702,INVERSIONES GBB SAS,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,ACTIVA,2018-12-31,4855562.0,95662719.0,1956292.0,53702323.0,39536321.0,41960396.0,745481.0,-153281.0,-579687.0,2018
800073563,EL CONVITE S.A.S. EN REORGANIZACION,A0122 - Cultivo de plátano y banano,ACUERDO DE REORGANIZACION,2018-12-31,2075452.0,7045983.0,1864608.0,2449248.0,2805562.0,4596735.0,4962666.0,-244484.0,-173653.0,2018
800073566,RIO CEDRO S.A.S.  EN REORGANIZACION,A0122 - Cultivo de plátano y banano,ACUERDO DE REORGANIZACION,2018-12-31,3495314.0,20519919.0,3990212.0,16002579.0,-1449750.0,4517340.0,10855770.0,296849.0,274892.0,2018
800073573,CENTURION S.A.S   EN REORGANIZACION,A0122 - Cultivo de plátano y banano,ACUERDO DE REORGANIZACION,2018-12-31,16420878.0,56449083.0,10442759.0,39541060.0,-858964.0,16908023.0,30533999.0,-319241.0,-78127.0,2018
800073584,ANTEA COLOMBIA SAS EN REORGANIZACION,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,ACUERDO DE REORGANIZACION,2018-12-31,9424679.0,20217992.0,17470250.0,27610011.0,-25846803.0,-7392019.0,15247358.0,433440.0,81937.0,2018
800074912,OFIMARCAS S.A.S,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,2825781.0,3533291.0,1681340.0,1683782.0,296251.0,1849509.0,10464747.0,525185.0,281065.0,2018
800076374,FIBRAS DEL SINU S.A.,A0163 - Actividades posteriores a la cosecha,ACTIVA,2018-12-31,1942248.0,20744310.0,4688902.0,10375030.0,-4949416.0,10369280.0,332383.0,-1946937.0,-1932596.0,2018
800077635,LM INSTRUMENTS S.A.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,39520155.0,44512552.0,14773558.0,14856285.0,23518802.0,29656267.0,48294229.0,3749406.0,2223441.0,2018
800077828,FACTORES Y MERCADEO SA,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",ACTIVA,2018-12-31,51507902.0,72865403.0,28248262.0,32025924.0,29880490.0,40839479.0,73832113.0,8915566.0,5857792.0,2018
800078360,REDOX COLOMBIA SAS,"G4761 - Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados",ACTIVA,2018-12-31,6843194.0,7437286.0,4218934.0,4352367.0,1554919.0,3084919.0,19617528.0,837863.0,540293.0,2018
800080027,EXPOFARO  S.A.S,"C1410 - Confección de prendas de vestir, excepto prendas de piel",ACTIVA,2018-12-31,47837684.0,138298755.0,39061036.0,79450742.0,31664363.0,58848013.0,80089712.0,14095416.0,10602502.0,2018
800080917,DIMEL INGENIERIA S A,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,ACTIVA,2018-12-31,52176858.0,86247391.0,31017490.0,51915265.0,3548920.0,34332126.0,121131096.0,9460991.0,3548920.0,2018
800081030,MAYUN SAS,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",ACTIVA,2018-12-31,28561765.0,44341687.0,25568457.0,30410989.0,8052102.0,13930698.0,49055191.0,3335636.0,1108738.0,2018
800081105,AGROPECUARIA LOS SAMANES SA,A0141 - Cría de ganado bovino y bufalino,ACTIVA,2018-12-31,885546.0,12653382.0,3613705.0,4401577.0,4951615.0,8251805.0,3219172.0,57926.0,431633.0,2018
800082394,HOSPIMPORT SA,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,11038944.0,12766687.0,6219169.0,8718553.0,2673344.0,4048134.0,10803810.0,1180515.0,571925.0,2018
800082889,DATALOG COLOMBIA SAS,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,ACTIVA,2018-12-31,9437111.0,16549376.0,2168664.0,11247373.0,5111342.0,5302003.0,15581315.0,3251145.0,1712815.0,2018
800083425,IDT ELECTRIC LTDA,G4669 - Comercio al por mayor de otros productos n.c.p.,ACTIVA,2018-12-31,4522543.0,5674876.0,1529139.0,2222822.0,1877192.0,3452054.0,9755283.0,803663.0,510333.0,2018
800087202,CIENDA ROYAL LTDA.  HACIENDA ROYAL LTDA.,I5511 - Alojamiento en hoteles,ACTIVA,2018-12-31,4517751.0,9217583.0,2626243.0,3722623.0,4928135.0,5494960.0,8507259.0,806270.0,800887.0,2018
800087204,HOTEL LA BOHEME LTDA,I5511 - Alojamiento en hoteles,ACTIVA,2018-12-31,3369828.0,5696665.0,1619742.0,2684044.0,2683507.0,3012621.0,5575117.0,504219.0,305533.0,2018
800087297,SPECTRUM BRANDS CORP S.A.S.,G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico,ACTIVA,2018-12-31,58518643.0,80276968.0,65896962.0,77831177.0,-16046177.0,2445791.0,53612028.0,-384124.0,-4332513.0,2018
800087795,DOW AGROSCIENCES DE COLOMBIA S.A,C2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario,ACTIVA,2018-12-31,507575084.0,698003014.0,554753941.0,554753941.0,137580780.0,143249073.0,557399637.0,43004788.0,30316080.0,2018
800090902,PROCLIN PHARMA SA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",ACTIVA,2018-12-31,13051909.0,30882036.0,8317002.0,13136007.0,11669269.0,17746029.0,13133462.0,343060.0,212057.0,2018
800091549,IMPRESISTEM S.A.S.,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",ACTIVA,2018-12-31,117034994.0,119682956.0,100919118.0,100919118.0,10634532.0,18763838.0,345934749.0,2580198.0,1308291.0,2018
800092641,LABORATORIOS RICHMOND COLOMBIA S.A.S,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",ACTIVA,2018-12-31,11815330.0,23841583.0,13972153.0,14887670.0,-5678327.0,8953913.0,16388717.0,-5970600.0,-4335247.0,2018
800092777,GRUPO NOVA S.A.,C3290 - Otras industrias manufactureras n.c.p.,ACTIVA,2018-12-31,8158779.0,21623341.0,6954955.0,12563669.0,4193308.0,9059672.0,18852135.0,1070404.0,695954.0,2018
800093056,BIC COLOMBIA SAS,G4690 - Comercio al por mayor no especializado,ACTIVA,2018-12-31,27484985.0,28493651.0,19124477.0,19124477.0,-4433576.0,9369174.0,31772539.0,-3305725.0,-4672310.0,2018
800093391,NOVAMED S.A,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",ACTIVA,2018-12-31,70363675.0,75161233.0,35585011.0,36074391.0,10450513.0,39086842.0,148736014.0,13062980.0,7084956.0,2018
800094574,ETECH SOLUTIONS S.A,J6312 - Portales web,ACTIVA,2018-12-31,7576230.0,8691866.0,5242524.0,5242524.0,1374643.0,3449342.0,13544090.0,1141072.0,848392.0,2018
800095750,PROYECTOS MONTAJES Y CONSTRUCCIONES SA,F4290 - Construcción de otras obras de ingeniería civil,ACTIVA,2018-12-31,14273701.0,19333518.0,1919393.0,14969039.0,1118283.0,4364479.0,5887555.0,21406.0,9515.0,2018
800096040,COMESTIBLES ALDOR SAS,"C1082 - Elaboración de cacao, chocolate y productos de confitería",ACTIVA,2018-12-31,71634508.0,195162993.0,87873101.0,130851654.0,15850074.0,64311339.0,206970411.0,12779599.0,3568956.0,2018
800096494,FLORES DEL HATO SAS,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,4486274.0,6178484.0,4283564.0,4283564.0,274127.0,1894920.0,9718372.0,-755372.0,-411510.0,2018
800099480,C.I. CULTIVOS SAYONARA S.A.S.,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,5933738.0,16807267.0,5486910.0,6914070.0,837386.0,9893197.0,16428247.0,413857.0,70329.0,2018
